en_word,en_pos,en_gloss,en_example,de_word,de_example
unlikely,adjective,Not likely ; improbable ; not to be reasonably expected .,It 's very unlikely that you 'll be able to walk perfectly after being in a cast for six months .,unwahrscheinlich,"Es ist sehr unwahrscheinlich, dass Sie nach sechs Monaten in einem Gips perfekt laufen können."
community,noun,The condition of having certain attitudes and interests in common .,"Writing groups and community writing spaces can provide that vitally important space for writing as well as potential benefits of support and accountability if people have the chance to talk about writing . Even if all that happens , however , is that people have a space to write in community with each other , the result is usually that writing becomes contagious .",Gemeinschaft.,"Schreibgruppen und gemeinschaftliche Schreibräume können diesen lebenswichtigen Raum für das Schreiben sowie potenzielle Unterstützung und Verantwortlichkeit bieten, wenn Menschen die Möglichkeit haben, über das Schreiben zu sprechen. Selbst wenn es nur darum geht, dass Menschen einen Raum haben, in dem sie gemeinsam schreiben können, ist das Ergebnis in der Regel, dass das Schreiben ansteckend wird."
rawness,noun,The property of being raw .,"The day broke gray and dull . The clouds hung heavily , and there was a rawness in the air that suggested snow .",Rauheit,"Der Tag brach grau und trüb an. Die Wolken hingen schwer, und es lag eine Rauheit in der Luft, die auf Schnee schließen ließ."
difference,noun,A disagreement or argument .,"We have our little differences , but we are firm friends .",Unterschied,"Wir haben unsere kleinen Differenzen, aber wir sind gute Freunde."
rudeness,noun,The property of being rude .,His rudeness was inexcusable .,Unhöflichkeit,Seine Unhöflichkeit war unentschuldbar.
fetal,adjective,"Pertaining to , or connected with , a fetus .",fetal membranes,fötale,fötale Membranen
governance,noun,"The process , or the power , of governing ; government or administration .",But was it responsible governance to pass the Longitude Act without other efforts to protect British seamen ? Or might it have been subterfuge - a disingenuous attempt to shift attention away from the realities of their life at sea .,Regieren,"Aber war es verantwortungsbewusstes Regieren, den Longitude Act zu verabschieden, ohne andere Anstrengungen zum Schutz der britischen Seeleute zu unternehmen? Oder war es vielleicht nur ein Vorwand - ein unaufrichtiger Versuch, die Aufmerksamkeit von der Realität des Lebens auf See abzulenken?"
reverence,noun,A form of address for some members of the clergy .,your reverence,Verehrung,Ihre Verehrung
swordswoman,noun,A woman skilled at using swords in combat .,is portrayed as a valiant swordswoman in the films .,Schwertkämpferin ,wird in den Filmen als tapfere Schwertkämpferin dargestellt.
gather,verb,"To congregate , or assemble .",People gathered round as he began to tell his story .,versammeln,"Die Leute versammelten sich, als er begann, seine Geschichte zu erzählen."
type,noun,A grouping based on shared characteristics ; a class .,"Although there are dozens of different types of gems , among the best known and most important are diamond , ruby and sapphire , emerald and other gem forms of the mineral beryl , chrysoberyl , tanzanite , tsavorite , topaz and jade .",Art,"Obwohl es Dutzende von verschiedenen Arten von Edelsteinen , unter den bekanntesten und wichtigsten sind Diamanten , Rubin und Saphir , Smaragd und andere Edelstein Formen des Minerals Beryll , Chrysoberyll , Tansanit , Tsavorit , Topas und Jade ."
undoubled,adjective,Not doubled .,"Assuming at the other table that three no-trump was undoubled , if the contract was making , the redouble would increase the gain to 9 international match points from 4 .",undoubliert,"Angenommen, am anderen Tisch wurde Dreitrumpf undoubliert, wenn der Kontrakt zustande kam, würde das erneute Verdoppeln den Gewinn von 4 auf 9 internationale Matchpunkte erhöhen."
confluence,noun,The act of combining which occurs at the place where rivers and the lake meet .,The confluence of the rivers produced a great rush of water .,Zusammenfluss,Der Zusammenfluss der Flüsse verursachte einen großen Ansturm von Wasser.
